course,category,recall_at_1,recall_at_2,recall_at_3,recall_at_5,n
cs288,OVERALL,0.5000,0.7067,0.7467,0.7933,150
cs288,text_only,0.4000,0.6667,0.6667,0.6667,15
cs288,image_diagram,0.3667,0.6000,0.6500,0.7167,60
cs288,table,0.6071,0.8214,0.8571,0.9286,28
cs288,chart_graph,0.7619,0.8571,0.8571,0.8571,21
cs288,layout_aware,0.5385,0.7308,0.8077,0.8462,26
cs601,OVERALL,0.3733,0.5067,0.6000,0.7067,150
cs601,text_only,0.5333,0.6667,0.7333,0.8667,15
cs601,image_diagram,0.3051,0.4237,0.5593,0.7288,59
cs601,table,0.4074,0.4074,0.4074,0.5185,27
cs601,chart_graph,0.5625,0.8125,0.9375,0.9375,16
cs601,layout_aware,0.3030,0.5152,0.6061,0.6364,33
cs224n,OVERALL,0.4800,0.7067,0.8067,0.8267,150
cs224n,text_only,0.4000,0.7333,0.8000,0.8000,15
cs224n,image_diagram,0.3684,0.5965,0.7719,0.7895,57
cs224n,table,0.5556,0.8519,0.8889,0.9259,27
cs224n,chart_graph,0.7143,0.8214,0.8571,0.8929,28
cs224n,layout_aware,0.4348,0.6522,0.7391,0.7391,23
